title,score,class,league,max_speed,acceleration,handling,nitro,nitro_speed,air_speed,radius,drift,stars_symbol,bp_values,bp_total,key_car
Jaguar F-Type SVR,2487,C,Silver,340.3,75.55,49.28,50.12,354,461,63.356,182,★★★★,"30,18,21,32",101,FALSE
Ford Shelby GT350R,2531,C,青铜,299.7,75.06,58.97,52.93,313,400,68.819,189,★★★★,"30,18,21,32",101,FALSE
Hyundai IONIQ 5 N,2559,D,青铜,275.9,88.63,80.51,63.38,296,378,49.536,224,★★★★,"20,30,41,45",136,FALSE
Porsche 911 Targa 4S,2571,C,青铜,315,75.37,41.56,38.33,328,418,89.122,161,★★★★,"35,18,21,32",106,FALSE
Lotus Emira,2612,D,青铜,307.4,70.86,57.47,53.42,320,409,70.059,189,★★★★,"25,32,40,48",145,FALSE
Lamborghini Countach 25th Anniversary,2618,D,青铜,305.4,71.43,65.58,48.39,318,406,60.442,204,★★★★,"25,32,40,48",145,FALSE
Praga R1,2624,D,青铜,283.3,87.8,62.25,60.92,295,379,*78.236,*191.8,★★★★,"25,32,40,48",145,FALSE
Honda Civic Type-R,2627,C,青铜,285.1,82.09,68.41,62.55,297,381,59.868,202,★★★★,"35,18,21,32",106,FALSE
Ginetta G60,2632,D,青铜,290.7,71.51,74.81,62.66,303,388,54.684,216,★★★★,"30,32,40,50",152,FALSE
Exotic Rides W70,2633,B,白银,329.7,80.21,45.2,56.71,342,441,80.688,172,★★★,"35,35,50",120,FALSE
Rezvani Beast X,2635,C,白银,299.4,84.62,69.2,63.68,312,399,59.585,208,★★★★,"35,20,24,32",111,FALSE
TVR Griffith,2641,C,青铜,338.7,69.28,47.31,37.49,352,458,74.406,178,★★★★,"35,18,21,32",106,FALSE
Ford Shelby GR-1,2642,C,白银,321.7,75.32,69.6,66.63,335,429,52.831,215,★★★★,"35,18,21,32",106,FALSE
Renault TREZOR,2646,C,白银,306,78.42,63.39,67.48,307,392,70.697,199,★★★★,"50,29,38,48",165,FALSE
Jaguar XKR-S GT,2700,C,白银,321.2,72.92,52.08,60.42,334,428,71.773,182,★★★★,"35,38,48,58",179,FALSE
Porsche Taycan Turbo S,2704,C,白银,278.8,83.66,75.47,56.94,303,386,45.044,214,★★★★,"35,18,21,32",106,FALSE
Aston Martin V12 Spedster,2733,C,白银,312.9,80.12,57.27,62.49,326,415,70.806,190,★★★★,"35,30,41,48",154,FALSE
Bentley Continental GT3,2781,C,青铜,301.3,74.78,72.59,44.04,314,402,*58.854,*203.5,★★★★★,"25,30,35,40",130,TRUE
Citroën DS Survolt,2796,C,白银,291.4,81.82,81.42,64.56,329,415,,,★★★★,"35,38,48,58",179,FALSE
Ford GT,2816,B,白银,362.8,77.54,34.11,48.64,377,500,80.418,160,★★★★,"40,18,24,36",118,FALSE
Dodge Viper ACR,2827,B,白银,303.4,77.32,86.2,68.94,316,404,41.327,245,★★★★,"40,18,24,36",118,FALSE
Chevrolet Corvette C7.R,2836,C,青铜,303.6,80.57,47.14,57.23,316,404,105.674,169,★★★★★,"30,38,43,48",159,TRUE
Ferrari F50,2838,C,白银,338.8,73.82,57.63,61.34,353,459,56.907,197,★★★★,"35,38,42,48",163,FALSE
Glickenhaus 004C,2840,D,青铜,311.2,76.75,56.89,60.87,324,413,84.722,189,★★★★★,"30,35,42,50",157,TRUE
Bolwell MK X Nagari 500,2854,C,白银,314.5,81.59,65.86,63.02,327,417,,,★★★★,"35,38,48,58",179,FALSE
Alfa Romeo Giulia GTAm,2895,D,青铜,312.2,77.28,45.17,47.09,325,414,,,★★★★★,"30,35,42,50",157,TRUE
Toyota GR Supra Racing Concept,2930,D,青铜,312,71.98,61.16,53.66,329,419,62.85,197,★★★★★,"30,?,?,?,?",?,FALSE
Lamborghini Asterion,2983,B,黄金,336.6,81.05,45.56,68.21,350,455,76.226,175,★★★★,"40,18,24,36",118,FALSE
Donkervoort D8 GTO Individual Series,2991,C,白银,306.8,85.56,86.91,64,320,408,43.591,245,★★★★★,"35,35,36,38,42",186,FALSE
Aston Martin Vulcan,3000,B,黄金,343.1,78.7,47.8,64.79,357,466,73.587,180,★★★★,"40,18,24,36",118,FALSE
Ford Mustang RTR Spec 5 10th Anniv.,3025,B,白银,335.2,75.65,46.89,73.82,349,452,74.949,176,★★★★,"25,30,35,40",130,FALSE
Pininfarina H2 Speed,3026,B,黄金,318,78.22,86.5,60.57,331,422,41.178,250,★★★★,"40,18,24,36",118,FALSE
Porsche 911 GT1 Evolution,3049,B,黄金,343.2,75.15,53.67,68.89,357,467,56.17,194,★★★★,"25,30,35,40",130,FALSE
Ferrari Roma,3061,B,白银,331.9,77.46,60.47,66.78,345,447,58.286,201,★★★★,"40,45,52,63",200,FALSE
Volkswagen Electric R,3062,C,青铜,291.1,88.6,58.15,68.06,302,387,64.835,184,★★★★★,"30,38,43,48",159,TRUE
Mercedes-Benz CLK-GTR,3083,C,黄金,332.7,78.92,70.49,57.24,346,448,49.679,219,★★★★★,"35,35,36,38,42",186,FALSE
Artega Scalo Superelletra,3093,B,黄金,316.3,85.72,57.94,71.91,329,420,67.418,192,★★★★,"40,18,24,36",118,FALSE
Ford Mustang Mach-E1400,3097,D,青铜,301.2,82.87,51.83,64.82,314,401,77.585,177,★★★★★,"30,35,42,50",157,TRUE
Maserati MC12,3100,C,黄金,342.9,76.48,72.36,38.94,357,466,44.092,225,★★★★★,"30,38,43,48",159,TRUE
Kimera EVO37,3108,D,青铜,297.8,80.98,78.18,57.43,310,397,48.889,224,★★★★★,"30,35,42,50",157,TRUE
Arash AF10,3109,C,白银,336.9,78.71,50.36,59.53,351,455,70.574,183,★★★★,"35,38,42,48",163,FALSE
Nissan 370Z Nismo Neon Edition,3121,C,白银,303.1,76.12,91.7,80.03,316,403,37.078,256,★★★★★,"35,38,48,58",179,TRUE
Nissan GT-R Nismo,3144,B,白金,329.9,84.83,60.69,60.6,343,443,51.404,201,★★★★,"40,18,24,36",118,FALSE
Saleen S1,3148,C,白银,305.3,76.74,82.8,74.07,327,415,45.451,235,★★★★,"35,38,42,48",163,FALSE
Cadillac Cien Concept,3155,B,白银,368,76.55,36.14,61.1,383,509,77.755,165,★★★★,"40,18,24,36",118,FALSE
Aston Martin Valour,3178,B,白银,331,78.23,56.43,60.73,345,445,65.004,193,★★★★,"38,48,58",144,TRUE
Ford GT MK II,3198,B,白金,321,86.25,78.97,67.89,335,429,50.333,234,★★★★,"35,55,85",175,TRUE
Acura 2017 NSX,3208,B,黄金,323.8,84.32,63.02,54.67,337,433,57.49,203,★★★★,"40,18,24,36",118,FALSE
Maserati Alfieri,3209,B,白银,335.9,74.42,41.44,72.91,350,454,84.297,166,★★★★,"40,18,24,36",118,FALSE
Porsche 911 50 Years Porsche Design,3210,C,白银,312.1,79.72,84.61,70.45,325,414,42.254,241,★★★★,"35,38,48,58",179,FALSE
Ferrari J50,3229,B,黄金,350.5,80.41,48.37,64.65,365,479,62.877,183,★★★★,"40,35,42,58",175,FALSE
Porsche Mission R,3229,C,白银,312.1,87.92,63.47,62.72,325,414,61.141,201,★★★★,"35,38,48,58",179,FALSE
Lamborghini Huracan STO,3236,B,白银,320.4,86.02,73.3,57.28,334,427,48.919,221,★★★★★,"40,30,36,42,52",200,FALSE
Jaguar XJR-15,3244,C,黄金,320.6,80.98,71.28,61.34,334,427,51.23,220,★★★★★,"35,35,36,38,42",186,FALSE
TVR Sagaris,3246,C,白银,321,75.52,70.65,74.61,334,428,53.059,216,★★★★,"35,38,48,58",179,FALSE
Lamborghini Huracan Super Trofeo EVO,3256,B,白银,311.6,82.63,63.62,54.57,325,414,63.295,203,★★★★★,"30,40,50,60",180,TRUE
Toyota GR Supra 2023,3258,C,黄金,315.1,80.38,73.43,56.83,328,418,,,★★★★★,"?,?,?,?,?",?,FALSE
McLaren Artura,3280,B,黄金,337.8,81.14,68.52,47.54,351,457,52.204,217,★★★★★,"40,30,36,42,52",200,FALSE
Mercedes-Benz 2022 Showcar Vision AMG,3288,C,白银,335.1,75.32,51.68,59.18,349,452,,,★★★★,"35,38,48,58",179,FALSE
Arash AF8 Falcon Edition,3289,C,黄金,333.1,76.78,66.13,77.1,347,449,56.201,212,★★★★★,"35,38,48,58",179,TRUE
Jaguar XE SV Project 8,3289,C,白银,338.7,78.28,48.14,62.98,352,458,65.548,179,★★★★★,"35,35,36,38,42",186,FALSE
Vencer Sarthe,3290,B,黄金,350.1,74.12,62.87,46.83,364,478,51.684,216,★★★★★,"40,12,15,21,32",120,FALSE
Dodge Viper GTS,3295,B,黄金,353.4,80.33,45.29,67.55,368,484,65.931,178,★★★★,"40,18,24,36",118,FALSE
ItalDesign Zerouno,3295,B,黄金,340.9,79.25,58.34,54.1,355,462,55.127,199,★★★★,"40,18,24,36",118,FALSE
Bentley Continental GT Speed,3330,B,白金,348.1,76.45,74.06,59.19,362,475,38.936,230,★★★★,"40,35,42,58",175,FALSE
Ferrari 488 GTB,3334,B,黄金,347.6,80.24,48.38,65.84,362,474,63.825,182,★★★★,"40,35,42,58",175,FALSE
Ferrari Monza SP1,3334,C,白银,319.6,82.32,62.53,63.22,333,425,63.965,202,★★★★,"35,38,48,58",179,FALSE
Bentley Mulliner Bacalar,3340,B,白银,329.6,77.37,67.2,55.81,343,442,53.971,205,★★★★★,"40,12,15,21,32",120,FALSE
Ferrari F40,3343,B,黄金,334.1,72.87,69.3,63.45,348,450,56.468,216,★★★★★,"40,12,15,21,32",120,FALSE
Ares S1,3377,C,黄金,307.8,89.55,78.93,68.93,333,422,*53.719,*229,★★★★★,"38,45,48,50",181,TRUE
ATS Automobili Corsa RRTurbo,3389,B,黄金,322.3,87.54,68.39,45.94,336,430,53.285,212,★★★★,"38,48,58",144,TRUE
Mercedes-Benz SLR McLaren,3389,B,白金,352.9,78.18,66.59,79.56,367,483,46.261,217,★★★★★,"40,12,15,21,32",120,FALSE
Kepler Motion,3393,B,黄金,338.7,86.54,48.81,61.41,352,458,86.742,182,★★★★★,"40,30,36,40,43",189,FALSE
Porsche Panamera Turbo S,3403,C,Silver,326.3,88.03,72.48,58.56,340,437,39.972,221,★★★★★,"35,35,36,38,42",186,FALSE
Mazda Furai,3408,B,青铜,305.5,80.95,57.23,49.67,318,406,75.492,187,★★★★★,"40,12,15,21,32",120,FALSE
Porsche 718 Cayman GT4 Clubsport,3415,B,Gold,314.7,73.44,87.23,70.53,328,418,40.384,245,★★★★★,"25,32,36,40",133,TRUE
Aston Martin DBS Superleggera,3423,B,白金,355.4,79.16,70.74,73.88,370,487,41.223,225,★★★★★,"40,12,15,21,32",120,FALSE
DS Automobiles DS E-Tense Performance,3424,C,黄金,318.7,90.06,76.68,61.55,332,424,44.976,227,★★★★★★,"35,35,35,35,36,36",212,FALSE
McLaren GT,3432,B,Gold,339.2,80.97,69.06,57.25,353,459,51.163,218,★★★★★,"35,40,52,70",197,TRUE
Ferrari 599XX EVO,3433,B,黄金,310.1,80.97,83.61,70.81,323,412,39.306,233,★★★★★,"30,40,50,60",180,TRUE
Drako GTE,3434,B,黄金,346.3,81.97,47.38,61.36,360,471,,,★★★★★,"40,30,36,39,43",188,FALSE
Ferrari LaFerrari,3445,A,白金,364.6,80.23,43.06,71.4,379,503,69.745,177,★★★★★,"35,15,21,24,36",131,FALSE
Brabham BT62,3489,B,白金,322.4,83.88,76.06,75.65,336,430,49.401,227,★★★★★,"35,40,52,70",197,TRUE
Porsche 911 Turbo 50 Years,3495,B,黄金,343.5,82.94,53.72,59.39,358,467,,,★★★★,"40,35,42,58",175,FALSE
Mercedes-Benz Mercedes-AMG GT Black Series,3513,C,白银,335.6,81.67,60.63,67.23,349,453,58.302,202,★★★★★★,"35,36,36,38,40",180,TRUE
Dodge Charger SRT Hellcat Redeye Widebody,3518,C,黄金,342.6,76.31,51.13,58.64,356,465,,,,,,
LEGO Technic Ferrari FXX K,3522,A,白金,364.6,81.82,45.96,64.44,379,503,,,★★★★★★,"40,30,35,40,50,55",250,FALSE
McLaren Elva,3530,B,Gold,339.2,81.3,75.51,65.91,353,459,46.025,230,★★★★★,"40,30,36,40,43",189,FALSE
Glickenhaus 003S,3534,A,白金,369,79.44,38.58,63.11,384,511,69.349,170,★★★★,"35,21,28,42",126,FALSE
Porsche 911 GT3 R Rennsport,3546,C,黄金,322.5,81.15,74.4,65.78,336,430,,,,,,
Apollo N,3548,A,翡翠,369.6,80.32,58.13,60.57,384,512,53.43,205,★★★★★,"35,15,21,24,36",131,FALSE
Praga Bohema,3553,C,黄金,315.7,80.72,80.22,69.65,333,425,45.495,233,★★★★★,"35,35,36,38,42",186,FALSE
Renault R.S. 01,3571,B,白银,321,83.67,61.35,71.97,334,428,70.265,200,★★★★★,"30,40,50,60",180,TRUE
Aston Martin DB12,3580,B,黄金,343.2,74.11,69.68,77.89,357,466,45.367,220,★★★★★,"40,30,36,40,43",189,FALSE
Acura NSX GT3 EVO,3585,B,黄金,313.9,74.31,86.11,73.78,345,442,42.43,246,★★★★★,"30,40,50,60",180,TRUE
McLaren P1™,3602,A,翡翠,364.6,83.64,47.54,62.89,379,503,65.602,185,★★★★★,"35,15,21,24,36",131,FALSE
Lexus LFA Nurburgring Package,3612,C,黄金,337.3,74.12,61.05,62.13,351,456,,,,,,
Nissan R390 GT1,3627,B,白金,373.5,76.72,52.63,55.45,388,519,60.817,197,★★★★★★,"35,38,42,48,52",215,TRUE
LEGO Technic Chevrolet Corvette Stingray,3647,B,白金,327.7,82.76,80.66,70.4,343,443,35.673,259,★★★★★,"45,17,23,32,45",162,FALSE
McLaren 765LT,3651,B,白金,349.5,80.5,70.61,62.26,363,477,48.481,224,★★★★★,"40,30,36,40,43",189,FALSE
BMW M4 GT3,3665,B,Gold,346.9,79.57,69.5,65.65,364,478,44.18,223,★★★★★,"40,42,42,45,46",215,FALSE
Pagani Zonda HP Barchetta,3678,A,白金,350.1,79.44,73.51,73.66,364,478,46.257,230,★★★★★,"30,38,55,77",200,TRUE
Lamborghini Miura Concept,3688,B,白银,346.7,73.39,56.22,60.53,361,474,61.475,197,★★★★★,"35,40,52,70",197,TRUE
Lamborghini Centenario,3696,A,翡翠,363.7,80.48,47.46,70.31,378,502,65.401,185,★★★★★,"35,15,21,24,36",131,FALSE
Ferrari F12tdf,3705,A,白金,360.3,78.38,40.12,80.18,375,496,69.043,170,★★★★★,"40,18,21,25,36",140,FALSE
Lamborghini Gallardo LP560-4,3706,A,黄金,331.2,76.48,75.43,59.41,345,445,43.002,225,★★★★★★,"50,15,18,24,38,45",190,FALSE
Lamborghini Aventador SV Coupe,3763,A,翡翠,367.9,80.83,50.14,70.6,382,509,62.535,191,★★★★★,"40,18,21,25,36",140,FALSE
Bugatti EB110,3766,B,黄金,348.4,74.11,66.05,58.11,362,475,51.395,215,★★★★★,"35,40,52,70",197,TRUE
Aston Martin One77,3771,B,Gold,363.4,79.32,68.72,56.56,378,501,44.53,231,★★★★★,"40,30,36,42,52",200,FALSE
Maserati MC20,3772,B,白金,335.7,81.63,90.78,75.84,349,453,35.066,266,★★★★★★,"35,38,42,48,52",215,TRUE
Mercedes-Benz C 63 AMG DTM,3773,C,黄金,322.1,80.81,72.85,68.98,335,430,,,,,,
Chevrolet Corvette Stingray,3788,B,黄金,327,81.52,60.15,64.47,340,438,55.865,198,★★★★★,"40,30,36,40,43",189,FALSE
Ferrari FXX K,3821,A,翡翠,363.1,83.9,43.75,72.39,376,497,67.904,178,★★★★★,"40,18,21,25,36",140,FALSE
Maserati MC20 GT2,3832,C,白银,336.3,83.68,63.95,46.53,350,454,56.4,208,★★★★★,"35,38,48,58",179,TRUE
LEGO Technic McLaren Senna GTR,3846,A,翡翠,349.8,82.43,79.32,65.28,366,481,39.002,249,★★★★★,"40,33,38,43,48",202,FALSE
Lamborghini Diablo GT,3869,B,黄金,349.2,74.97,63.52,58.83,363,477,52.631,211,★★★★★,"40,30,36,42,52",200,FALSE
Lamborghini Autentica,3884,A,白金,366.8,78.82,47.2,68.72,381,507,65.471,185,★★★★★,"30,38,55,77",200,TRUE
LEGO Technic BMW M4 GT3 EVO,3896,B,Gold,333.5,80.79,82.01,74.7,347,449,,,★★★★★,"40,42,42,45,46",215,FALSE
Jaguar C-X75,3900,A,钻石,368.9,75.58,73.15,74.14,383,510,43.39,233,★★★★★,"35,15,21,24,36",131,FALSE
Chevrolet Corvette Grand Sport,3906,A,白金,334.6,76.55,94.52,81.88,348,451,34.425,274,★★★★★,"40,18,21,25,36",140,FALSE
Arrinera Hussarya 33,3910,A,黄金,352.1,78.53,59.47,47.71,366,482,,,★★★★★,"35,15,21,24,36",131,FALSE
LEGO Technic Aston Martin Valkyrie,3920,A,翡翠,372.3,81.04,65.74,59.77,387,516,50.45,221,★★★★★,"40,33,38,43,48",202,FALSE
Apex AP-0,3922,A,翡翠,334.8,80.83,89.1,74.95,358,465,34.779,261,★★★★★,"35,30,35,42,48",190,FALSE
Aston Martin DBS 770 Ultimate,3922,C,黄金,353.9,77.55,62.96,43.03,368,485,43.6,209,★★★★★,"30,35,?,?",?,TRUE
Lamborghini Murcielago LP640 Roadster,3924,A,翡翠,354,77.45,66.92,61.49,368,485,50.731,219,★★★★★,"40,33,38,43,48",202,FALSE
VLF Force 1 V10,3929,A,白金,369.4,80.33,54.68,74.63,384,511,55.601,200,★★★★★,"40,18,21,25,36",140,FALSE
De Tomaso P900,3937,C,黄金,331.8,82.95,62,59.08,345,447,49.447,204,★★★★★,"35,35,36,38,42",186,FALSE
Ferrari 812 Superfast,3941,A,白金,354,81.13,63.17,74.33,368,485,48,211,★★★★★,"35,30,35,42,48",190,FALSE
Apollo IE,3946,A,白金,348,84.58,72.82,68.9,362,475,48.75,228,★★★★★,"40,33,38,43,48",202,FALSE
Sin R1 550,3950,A,白金,368.3,77.04,45.58,74.13,383,509,65.544,182,★★★★★,"40,18,21,25,36",140,FALSE
Ferrari F12 Berlinetta,3950,B,白金,357.2,81.86,61.13,68.14,371,490,,,★★★★★,"40,36,38,42,45",201,FALSE
Icona Vulcano Titanium,3957,S,钻石,381.7,81.38,43.38,65.89,397,533,49.059,183,★★★★★,"40,18,21,25,39",143,FALSE
Aston Martin Vantage GT12,3958,A,白金,337.6,78.26,86.85,80.46,352,457,37.575,256,★★★★★,"35,15,21,24,36",131,FALSE
Lamborghini Reventon Roadster,3983,B,白金,357,79.38,69.05,74.91,371,490,49.203,223,★★★★★★,"28,36,48,58,72",242,TRUE
Lamborghini Huracan Sterrato,3995,C,黄金,334.5,81.86,64.86,62.63,355,461,,,★★★★★★,"40,42,44,46,48",220,TRUE
McLaren 750S Coupe,3996,B,白金,348.8,83.02,65.3,67.36,363,476,,,,,,
Lamborghini Aventador J,4002,A,钻石,362.9,79.83,73.1,77.86,378,502,44.141,232,★★★★★★,"50,15,18,24,38,45",190,FALSE
McMurtry Spéirling,4003,A,翡翠,339.7,90.52,82.09,62.82,354,480,35.97,244,★★★★★,"40,33,38,43,48",202,FALSE
Ferrari 296 GTB,4009,C,黄金,341.6,81.23,65,52.13,355,463,54.378,211,★★★★★,"35,38,48,58",179,TRUE
Porsche Carrera GT,4010,A,白金,344.7,78.59,84.59,82.64,358,468,38.124,252,★★★★★,"30,35,40,45,50",200,FALSE
Ferrari Enzo Ferrari,4014,A,白金,365.8,75.19,64.75,72.1,380,504,45.896,217,★★★★★★,"40, 30, 35, 40, 50, 55",250,FALSE
Porsche 911 GT3 RS,4019,A,钻石,338.9,85.84,92.97,86.39,353,459,31.676,271,★★★★★★,"50,15,18,24,38,45",190,FALSE
Formula E Gen 2 Asphalt Edition,4019,B,Gold,323.5,83.75,87.29,78.34,337,432,36.563,253,★★★★★★,"40,30,36,38,46,52",242,FALSE
Techrules AT96 Track Version,4020,A,钻石,364.6,85.53,75.74,69.65,379,503,41.033,239,★★★★★★,"30,40,50,65,80",265,TRUE
McLaren Senna GTR,4025,A,翡翠,357.9,82,60.85,77.62,372,492,54.694,208,★★★★★,"40,33,38,43,48",202,FALSE
Peugeot Onyx,4026,A,钻石,365.6,81.94,84.83,59.59,380,504,34.286,259,★★★★★★,"33,31,33,35,38,42",212,FALSE
Chevrolet Corvette ZR1,4031,A,翡翠,355.4,82.03,60.09,76.33,370,487,49.157,206,★★★★★★,"50,15,18,24,38,45",190,FALSE
Lamborghini Essenza SCV12,4036,A,白金,340.1,85.03,75.44,74.52,354,461,44.438,230,★★★★★,"30,38,55,77",200,TRUE
BMW M Hybrid V8,4057,B,翡翠,355.8,81.39,67.1,69.84,370,488,46.548,219,★★★★★★,"?,?,?,?,?",?,TRUE
Puritalia Berlinetta,4061,A,Platinum,348.8,83.35,82.35,69.25,361,473,38.427,248,★★★★★,"40,38,42,48,60",228,FALSE
Lamborghini SC63,4062,B,Gold,353.8,85.38,70.15,56.43,368,484,*54.151,*225,★★★★★,"35,40,52,70",197,TRUE
Aston Martin V12 Vantage 2022,4072,B,翡翠,343.7,79.4,88.64,79.82,358,467,35.13,263,★★★★★★,"40,30,36,38,46,52",242,FALSE
Ferrari Daytona SP3,4073,C,白银,348.8,80.46,54.89,60.3,363,476,63.692,195,★★★★★,"35,38,48,58",179,TRUE
McLaren 600LT Spider,4075,B,翡翠,340.5,86.11,83.17,74.54,354,461,40.909,249,★★★★★,"40,36,38,42,42",198,FALSE
McLaren Solus GT,4075,B,翡翠,335.4,89.3,83.11,76.82,349,453,40.589,247,★★★★★★,"35,38,42,48,52",215,TRUE
Toyota GR Super Sport Concept,4076,B,白金,364.8,85.64,56.7,45.09,379,503,,,★★★★★,"26,33,43,60",162,TRUE
Mercedes-Benz Biome 2010,4078,A,钻石,337,80.62,80.16,83.39,0,0,0,0,★★★★★★,,0,FALSE
Lamborghini SC18,4079,A,翡翠,355.6,81.99,64.05,82.46,370,487,43.343,212,★★★★★★,"30,40,50,65,80",265,TRUE
Lamborghini Aventador SVJ Roadster,4080,A,翡翠,364.8,81.09,73.75,73.93,379,503,43.471,234,★★★★★★,"70,23,27,36,52,59",267,FALSE
Formula E Gen 3 EVO Championship Edition,4082,A,钻石,345.1,90.21,77.89,62.24,359,470,*48.867,*238,★★★★★,"30,38,55,77",200,TRUE
W Motors Lykan Hypersport,4083,S,精英,407.6,80.48,40.97,58.46,425,560,47.739,185,★★★★★,"40,18,21,25,39",143,FALSE
Lamborghini Invencible,4091,B,白金,340.4,88.49,75.74,67.64,354,461,47.622,232,★★★★★,"40,30,36,42,52",200,FALSE
Ford GT CNY Edition,4093,A,Platinum,366.8,79.14,68.15,73.89,381,507,41.903,224,★★★★★,"40,33,38,43,48",202,FALSE
Raesr Tachyon Speed,4095,A,翡翠,400.5,77.88,53.38,59.79,416,555,53.727,206,★★★★★★,"38,48,57,66,72",281,TRUE
Ferrari 488 Challenge EVO,4095,A,白金,347.5,82.63,76.76,76.65,362,474,44.204,233,★★★★★★,"30,35,45,55,85",250,TRUE
Nissan Z GT4,4098,C,黄金,345,81.15,54.32,62.04,358,468,68.86,194,★★★★★,"35,35,36,38,42",186,FALSE
Citroën GT by Citroën,4099,A,白金,383.5,76.54,64.63,67.23,399,536,46.484,221,★★★★★★,"40, 30, 35, 40, 50, 55",250,FALSE
Pagani Zonda Cinque,4105,A,翡翠,369.7,79.84,74.76,73.22,384,512,,,★★★★★★,"30,35,50,65,80",260,TRUE
Lamborghini Huracan EVO Spyder,4108,B,翡翠,344,84.31,75.97,82.43,358,468,45.142,232,★★★★★★,"40,30,36,38,46,52",242,FALSE
Aston Martin DBS GT Zagato,4109,A,钻石,361.9,80.65,75.77,78.17,376,498,34.621,237,★★★★★★,"70,23,27,36,52,59",267,FALSE
Chevrolet Corvette Grand Sport Halloween Edition,4112,A,钻石,357.4,81.66,80.58,70.94,372,491,,,★★★★★★,"40,45,60,65,?",?,TRUE
Porsche 918 Spyder,4114,S,翡翠,362.4,83.02,51.8,79.97,377,499,55.858,193,★★★★★,"40,18,21,25,39",143,FALSE
Vanda Electrics Dendrobium,4124,S,精英,339.9,86.24,95.92,84.9,347,509,31.863,281,★★★★★★,"30,30,30,35,35,40",200,FALSE
